College,Branch,Category,Rank 2024,Percentile 2024,Rank 2025,Percentile 2025,Rank Change,Percentile Change
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,OBC/SEBC,16471.0,94.5242,18582.0,94.6277,+2111 ↑,+0.1035 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,GNT,15204.0,94.9882,23168.0,93.2752,+7964 ↑,-1.713 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],GOPENS,42998.0,85.3422,46927.0,85.9646,+3929 ↑,+0.6224 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],LOPENS,39797.0,86.3062,49514.0,85.192,+9717 ↑,-1.1142 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],SC/ST,36779.0,87.4969,42156.0,87.4135,+5377 ↑,-0.0834 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],OBC/SEBC,47283.0,83.7441,40947.0,87.9235,-6336 ↓,+4.1794 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],GNT,39091.0,86.714,49793.0,85.1002,+10702 ↑,-1.6138 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GOPENS,30973.0,89.4908,35619.0,89.5129,+4646 ↑,+0.0221 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,LOPENS,49480.0,82.859,67388.0,79.6034,+17908 ↑,-3.2556 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,SC/ST,25324.0,91.551,27987.0,91.7969,+2663 ↑,+0.2459 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,OBC/SEBC,24192.0,91.9366,33360.0,90.161,+9168 ↑,-1.7756 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,GNT,36284.0,87.59,36583.0,89.2727,+299 ↑,+1.6827 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,GOPENS,21234.0,92.9153,25746.0,92.4545,+4512 ↑,-0.4608 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,LOPENS,85188.0,68.7156,45670.0,86.412,-39518 ↓,+17.6964 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,SC/ST,14798.0,95.0547,19672.0,94.2945,+4874 ↑,-0.7602 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,OBC/SEBC,19619.0,93.4765,24039.0,92.9807,+4420 ↑,-0.4958 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,GNT,18069.0,93.9959,26574.0,92.244,+8505 ↑,-1.7519 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,GOPENS,45962.0,84.2431,53572.0,83.9021,+7610 ↑,-0.341 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,LOPENS,83082.0,69.7604,96692.0,68.8687,+13610 ↑,-0.8917 ↓
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,SC/ST,61615.0,78.4441,48694.0,85.4179,-12921 ↓,+6.9738 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,OBC/SEBC,59869.0,79.1319,60260.0,81.7705,+391 ↑,+2.6386 ↑
"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,GNT,52884.0,81.7658,59509.0,82.1124,+6625 ↑,+0.3466 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,GOPENS,44356.0,84.7973,48356.0,85.5729,+4000 ↑,+0.7756 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,LOPENS,42604.0,85.3822,35788.0,89.4898,-6816 ↓,+4.1076 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,SC/ST,62849.0,77.8445,63376.0,80.8599,+527 ↑,+3.0154 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,OBC/SEBC,47023.0,83.7448,50611.0,84.8737,+3588 ↑,+1.1289 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,GNT,58452.0,79.529,59241.0,82.1319,+789 ↑,+2.6029 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,EWS,100745.0,60.8486,101343.0,66.9039,+598 ↑,+6.0553 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,TFWS,27783.0,90.7095,40082.0,88.1387,+12299 ↑,-2.5708 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,GOPENS,94924.0,63.9613,98203.0,68.2382,+3279 ↑,+4.2769 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,LOPENS,101818.0,60.5467,90515.0,71.1731,-11303 ↓,+10.6264 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,SC/ST,120140.0,50.9307,117356.0,60.2517,-2784 ↓,+9.321 ↑
